league_id,league_name
1,World Cup
4,Euro Championship
5,UEFA Nations League
6,Africa Cup of Nations
7,Asian Cup
9,Copa America
10,Friendlies
21,Confederations Cup
22,CONCACAF Gold Cup
29,World Cup - Qualification Africa
30,World Cup - Qualification Asia
31,World Cup - Qualification CONCACAF
32,World Cup - Qualification Europe
33,World Cup - Qualification Oceania
34,World Cup - Qualification South America
35,Asian Cup - Qualification
36,Africa Cup of Nations - Qualification
37,World Cup - Qualification Intercontinental Play-offs
536,CONCACAF Nations League
806,OFC Nations Cup
808,CONCACAF Nations League - Qualification
858,CONCACAF Gold Cup - Qualification
913,CONMEBOL - UEFA Finalissima
960,Euro Championship - Qualification
